,english,czech
0,absolutism,absolutismus
1,absurdism,absurdismus
2,accidentalism,akcidentalismus
3,acosmism,akosmismus
4,aestheticism,estetismus
5,agnostic atheism,agnostický ateismus
6,agnostic theism,agnostický teismus
7,agnosticism,agnosticismus
8,altruism,altruismus
9,amor fati,amor fati
10,anarchism,anarchismus
11,anarcho-capitalism,anarchokapitalismus
12,anarcho-primitivism,anarchoprimitivismus
13,anarcho-syndicalism,anarchosyndikalismus
14,anima mundi,anima mundi
15,animism,animismus
16,anthropocentrism,antropocentrismus
17,anthropomorphism,antropomorfismus
18,antinatalism,antinatalismus
19,Antinomianism,antinomismus
20,anti-realism,antirealismus
21,Aristotelianism,aristotelismus
22,Arminianism,arminianismus
23,asceticism,askeze
24,ascriptivism,askripticismus
25,associationalism,asociativismus
26,atheism,ateismus
27,atomism,atomismus
28,authoritarianism,autoritářství
29,automatism,automatismus
30,behavioralism,behavioralismus
31,behaviorism,behaviorismus
32,biologism,biologismus
33,Buddhism,buddhismus
34,capitalism,kapitalismus
35,careerism,kariérismus
36,Cartesianism,kartezianismus
37,Christian existential humanism,křesťanský existenciální humanismus
38,Christian existentialism,křesťanský existencialismus
39,Christian humanism,křesťanský humanismus
40,Christian materialism,křesťanský materialismus
41,Christianism,křesťanství
42,classical theism,klasický teismus
43,Classicism,klasicismus
44,cognitivism,kognitivismus
45,coherentism,koherentismus
46,Colbertism,kolbertismus
47,collectivism,kolektivismus
48,Communal (disambiguation),komunismus (disambiguace)
49,communism,komunismus
50,communitarianism,komunitarismus
51,compatibilism,kompatibilismus
52,Comtism,komunismus
53,conceptualism,konceptualismus
54,Consciousness,vědomí
55,Confucianism,konfucianismus
56,consequentialism,konsekvencionalismus
57,constructivism,konstruktivismus
58,consumerism,konzumerismus
59,contextualism,kontextualismus
60,conventionalism,konvencionalismus
61,cosmotheism,kosmoteismus
62,creationism,kreacionismus
63,critical rationalism,kritický racionalismus
64,critical realism,kritický realismus
65,cynicism,cynismus
66,Darwinism,darwinismus
67,day-age creationism,denní kreacionismus
68,deconstructionism,dekonstruktivismus
69,deductivism,deduktivismus
70,defeatism,defétismus
71,deism,deismus
72,democratic transhumanism,demokratický transhumanismus
73,deontologism,deontologismus
74,descriptivism,deskriptivismus
75,determinism,determinismus
76,dialectical materialism,dialektický materialismus
77,dialetheism,dialetheismus
78,disjunctivism,disjunktivismus
79,distributism,distributismus
80,dogma,dogma
81,dualism,dualismus
82,dynamism,dynamismus
83,eclecticism,eklekticismus
84,egalitarianism,rovnostářství
85,egoism,egoismus
86,eliminative materialism,eliminační materialismus
87,emanationism,emanacionismus
88,emergent materialism,emergentní materialismus
89,emotionalism,emocionalismus
90,emotivism,emotivismus
91,empiricism,empirismus
92,enlightened absolutism,osvícený absolutismus
93,environmentalism,environmentalismus
94,Epicureanism,epikureismus
95,epistemology,epistemologie
96,epiphenomenalism,epifenomenalismus
97,equalitarianism,rovnostářství
98,essentialism,esencialismus
99,eternalism,eternalismus
100,ethical egoism,etický egoismus
101,ethnocentrism,etnocentrismus
102,eudaimonism,eudaimonismus
103,evolutionary creationism,evoluční kreacionismus
104,existentialism,existencialismus
105,experientialism,experiencialismus
106,experimentalism,experimentalizmus
107,Expressionism,expresionismus
108,expressivism,expresivismus
109,externalism,externalismus
110,externism,externismus
111,extropianism,extropianismus
112,fallibilism,fallibilismus
113,falsifiability,falzifikovatelnost
114,fascism,fašismus
115,feminism,feminismus
116,fatalism,fatalismus
117,fideism,fideismus
118,finalism,finalismus
119,formalism,formalismus
120,foundationalism,fundamentalismus
121,French materialism,francouzský materialismus
122,Freudianism,freudismus
123,functionalism,funkcionalismus
124,gap creationism,kreacionismus mezer
125,German idealism,německý idealismus
126,Global Estate,globální majetek
127,Gnosticism,gnosticismus
128,greedy reductionism,chamtivý redukcionismus
129,hedonism,hédonismus
130,Hegelianism,hegelianismus
131,henotheism,henoteismus
132,hereditarianism,hereditářství
133,Hinduism,hinduismus
134,historical determinism,historický determinismus
135,historical materialism,historický materialismus
136,historicism,historismus
137,holism,holismus
138,humanism,humanismus
139,humanistic naturalism,humanistický naturalismus
140,hylozoism,hylozoismus
141,idealism,idealismus
142,ignosticism,ignosticismus
143,illusionism,iluzionismus
144,immaterialism,imaterialismus
145,immoralism,imoralismus
146,immortalism,immortalismus
147,incompatibilism,inkompatibilismus
148,indeterminism,indeterminismus
149,individualism,individualismus
150,inductionism,indukcionismus
151,inductivism,induktivismus
152,infinitism,infinitismus
153,innatism,innatismus
154,instrumentalism,instrumentalismus
155,intellectualism,intelektualismus
156,internalism,internalismus
157,intentionalism,intencionalismus
158,interactionism,interakcionismus
159,interbehaviorism,interbehaviorismus
160,interpretivism,interpretativismus
161,legal interpretivism,právní interpretivismus
162,intrinsicism,intrinsicismus
163,intuitionism,intuicionismus
164,irrationalism,iracionalismus
165,irrealism,irealismu
166,Islamism,islamismus
167,Jainism,džinismus
168,Jansenism,jansenismus
169,Judaism,judaismus
170,Kantianism,kantovství
171,kathenotheism,kathenoteismus
172,Kierkegaardianism,kierkegaardianismus
173,legalism,legalismus
174,legal interpretivism,právní interpretivismus
175,legal naturalism,právní naturalismus
176,legal positivism,právní pozitivismus
177,liberalism,liberalismus
178,libertarianism,libertarianismus
179,linguistic relativism,jazykový relativismus
180,logical atomism,logický atomismus
181,logical behaviorism,logický behaviorismus
182,logical positivism,logický pozitivismus
183,logicism,logicismus
184,Manichaeism,manicheismus
185,Marxism,marxismus
186,materialism,materialismus
187,Mazdaism,mazdaismus
188,mechanism,mechanismus
189,meliorism,meliorismus
190,mentalism,mentalismus
191,metaphysical naturalism,metafyzický naturalismus
192,metaphysics,metafyzika
193,methodological behaviorism,metodologický behaviorismus
194,methodological naturalism,metodologický naturalismus
195,methodological reductionism,metodologický redukcionismus
196,methodological relativism,metodologický relativismus
197,modal realism,modální realismus
198,modernism,modernismus
199,Mohism,mohismus
200,Molinism,molinismus
201,monism,monismus
202,monistic theism,monistický teismus
203,monolatrism,monolatrismus
204,monotheism,monoteismus
205,moral absolutism,morální absolutismus
206,moral realism,morální realismus
207,moral relativism,morální relativismus
208,moral universalism,morální univerzalismus
209,mysticism,mysticismus
210,naïve realism,naivní realismus
211,nativism,nativismus
212,naturalism,naturalismus
213,necessitarianism,necessitarianismus
214,neo-Confucianism,neokonfucianismus
215,neo-Marxism,neomarxismus
216,neo-Platonism,neoplatonismus
217,New Confucianism,nový konfucianismus
218,nihilism,nihilismus
219,nominalism,nominalismus
220,non-cognitivism,nonkognitivismus
221,nontheism,nontheismus
222,objective idealism,objektivní idealismus
223,objectivism,objektivismus
224,occasionalism,příležitostný
225,Old Earth creationism,kreacionismus staré Země
226,Omphalos creationism,omfaloský kreacionismus
227,ontological reductionism,ontologický redukcionismus
228,ontologism,ontologismus
229,open theism,otevřený teismus
230,operationalism,operacionalismus
231,optimism,optimismus
232,organicism,organicismus
233,orthocracy,ortokratismus
234,pacifism,pacifismus
235,pancritical rationalism,pankritický racionalismus
236,pandeism,pandeismus
237,panentheism,panenteismus
238,panpsychism,panpsychismus
239,pantheism,panteismus
240,particularism,partikularismus
241,Pelagianism,pelagianismus
242,perfectionism,perfekcionismus
243,personalism,personalismus
244,perspectivism,perspektivismus
245,pessimism,pesimismus
246,phenomenal conservatism,fenomenální konzervatismus
247,phenomenalism,fenomenalismus
248,philosophical theism,filozofický teismus
249,philosophy,filosofie
250,physicalism,fyzikalismus
251,Platonic realism,platónský realismus
252,Platonism,platonismus
253,pluralism,pluralismus
254,political absolutism,politický absolutismus
255,polylogism,polylogismus
256,polytheism,polyteismus
257,positivism,pozitivismus
258,post-structuralism,poststrukturalismus
259,posthumanism,posthumanismus
260,postmodernism,postmodernismus
261,pragmatism,pragmatismus
262,prescriptivism,preskriptivismus
263,probabilism,probabilismus
264,psychological behaviorism,psychologický behaviorismus
265,psychological egoism,psychologický egoismus
266,psychologism,psychologismus
267,Pyrrhonian skepticism,pyrrhonský skepticismus
268,Pyrrhonism,pyrrhonismus
269,Pythagoreanism,pythagoreismus
270,quasi-realism,kvazirealismus
271,Qualia,Qualia
272,radical behaviorism,radikální behaviorismus
273,Randianism,randianismus
274,rationalism,racionalismus
275,realism,realismus
276,reconstructivism,rekonstruktivismus
277,reductionism,redukcionismus
278,reductive materialism,reduktivní materialismus
279,relationalism,relacionalismus
280,relativism,relativismus
281,reliabilism,reliabilismus
282,religious humanism,náboženský humanismus
283,representationalism,reprezentativismus
284,Romanticism,romantismus
285,scholasticism,scholastika
286,scientific reductionism,vědecký redukcionismus
287,scientism,scientismus
288,Scotism,skotismus
289,secular humanism,sekulární humanismus
290,secularism,sekularismus
291,Sikhism,sikhismus
292,semipelagianism,semipelagianismus
293,sensualism,sensualismus
294,singularitarianism,singularitarismus
295,situationalism,situacionalismus
296,skepticism,skepticismus
297,social atomism,sociální atomismus
298,social Darwinism,sociální darwinismus
299,socialism,socialismus
300,solipsism,solipsismus
301,sophism,sofismus
302,speciesism,speciesismus
303,spiritualism,spiritualismus
304,statism,etatismus
305,Stoicism,stoicismus
306,strong agnosticism,silný agnosticismus
307,strong atheism,silný ateismus
308,structuralism,strukturalismus
309,subjective idealism,subjektivní idealismus
310,subjectivism,subjektivismus
311,substance dualism,substanční dualismus
312,substance monotheism,substanční monoteismus
313,substantialism,substancialismus
314,surrealism,surrealismus
315,symbolism,symbolismus
316,syncretism,synkretismus
